,Estimate,Std. Error,t value,Pr(>|t|),aic,N,r_squared,adj_r_squared
(Intercept),2.32800421230568e-17,0.0736739396069476,3.15987474638338e-16,1,292.312856030268,116,0.452495193255524,0.370369472243853
AU1,-0.135001957884966,0.18382104325493,-0.734420583707277,0.464411093356472,,,,
AU2,0.312685134657592,0.202860681259933,1.54137870737473,0.126383237424351,,,,
AU4,0.136909466877098,0.11310976622077,1.21041242901939,0.228973889968074,,,,
AU5,-0.117285373794691,0.122948766879536,-0.953936967172728,0.342415801376854,,,,
AU6,-0.0423636625640031,0.151825013501091,-0.279029532664581,0.780798399363815,,,,
AU7,0.144700871405594,0.0992520415737363,1.45791329942662,0.147997908213247,,,,
AU10,0.50790210801999,0.108191259189165,4.69448374874684,8.51458344668439e-06,,,,
AU12,-0.22390247032266,0.15825660529216,-1.41480647780426,0.160231608058584,,,,
AU14,-0.0871697134333583,0.0818075193872149,-1.06554646915478,0.28919468190742,,,,
AU15,0.0571854046308276,0.111686783604721,0.512015860652024,0.60976883500207,,,,
AU17,-0.102424328978324,0.0792531681512932,-1.2923688903237,0.199207814193965,,,,
AU21,-0.0939428866689783,0.0953832544377253,-0.984899154707628,0.327050599464939,,,,
AU23,-0.0220123145043604,0.0818339235562353,-0.268987646537976,0.788493379635699,,,,
AU25,-0.0249815012025898,0.125296178859811,-0.199379593455444,0.842370671047534,,,,
AU26,0.0250108762668903,0.0929006754852993,0.269221683655551,0.7883137978203,,,,
