,Estimate,Std. Error,t value,Pr(>|t|),aic,N,r_squared,adj_r_squared
(Intercept),2.10809808104642e-17,0.0799234369517674,2.63764692992198e-16,1,311.202296643932,116,0.355669852343265,0.259020330194755
AU1,-0.20050544943648,0.199413926272623,-1.00547365564813,0.317095629828781,,,,
AU2,0.141006159311806,0.220068628814603,0.640737210348123,0.523159048924871,,,,
AU4,-0.021993032783134,0.122704463985558,-0.179235800139451,0.858115213887332,,,,
AU5,-0.0610021596591711,0.133378071953512,-0.457362734111444,0.648402445696565,,,,
AU6,-0.210170285627028,0.164703787512829,-1.27605010668414,0.204893677247479,,,,
AU7,0.0670752221682809,0.107671238016769,0.622963229584436,0.534726837258012,,,,
AU10,0.0263688881697118,0.117368737557264,0.224667051197058,0.822696730320912,,,,
AU12,0.00826099382471437,0.171680948280333,0.0481182909778972,0.961717940228032,,,,
AU14,0.243144769689498,0.0887469592749725,2.73975324536068,0.00728224714200255,,,,
AU15,0.100144070494266,0.121160774833003,0.826538709679726,0.410466365479822,,,,
AU17,0.318324986306805,0.0859759315405251,3.70248952937208,0.000349718181876053,,,,
AU21,-0.00313326736830853,0.103474275476223,-0.0302806408055353,0.975903588180549,,,,
AU23,0.185756288586014,0.0887756032154109,2.09242496652242,0.0389324905918937,,,,
AU25,-0.0714226598798429,0.13592460651385,-0.525457911644316,0.600428106809754,,,,
AU26,0.151169599721754,0.100781108211916,1.49997953390118,0.136770353521415,,,,
