,Estimate,Std. Error,t value,Pr(>|t|),aic,N,r_squared,adj_r_squared
(Intercept),-1.12403059868748e-16,0.0832780738814605,-1.34973174366094e-15,0.999999999999999,320.741245183261,116,0.300445599677308,0.195512439628904
AU1,0.433530675529739,0.207783953224454,2.08644926040765,0.0394821165793553,,,,
AU2,-0.342647113174149,0.229305598312473,-1.49428149899431,0.138250918414814,,,,
AU4,0.168586439239157,0.127854754588959,1.31857778602874,0.190322248011988,,,,
AU5,0.112928983296713,0.138976367307809,0.812576882561583,0.418390961296098,,,,
AU6,0.0395602162258403,0.171616921245858,0.230514659852023,0.818162800318249,,,,
AU7,0.0312401274702818,0.112190537049602,0.278455993632241,0.781237317384268,,,,
AU10,0.176606453007793,0.122295071013602,1.44410115259797,0.151836348085364,,,,
AU12,-0.240731429887027,0.178886935299804,-1.3457183414964,0.181436587540458,,,,
AU14,-0.18778930282698,0.0924719470674952,-2.03077050697238,0.0449324980914185,,,,
AU15,-0.171238489353145,0.126246271968597,-1.35638452275043,0.178031379437461,,,,
AU17,-0.275319419612349,0.0895846106215395,-3.07328923686979,0.00272858172396475,,,,
AU21,0.0774807506735688,0.107817414848411,0.718629275080516,0.474045167475455,,,,
AU23,0.0360888894605846,0.0925017932838126,0.39014259269393,0.697260887821161,,,,
AU25,0.0256567759255375,0.141629787898136,0.181153811682544,0.856613506437162,,,,
AU26,0.0297670352223149,0.105011206920347,0.283465318562557,0.777406184822836,,,,
